PESEL;RODZAJ SZCZEPIONKI;GODZINA ZASZCZEPIENIA;KTÓRA DAWKA 
50070768526;Moderna;10:04:35;1 
68042682819;Moderna;10:05:25;2 
20122893755;Moderna;10:06:15;2 
59041061932;Johnson&Johnson;10:06:40;1 
09232261218;Pfizer;10:07:05;1 
49050781718;Johnson&Johnson;10:07:30;1 
45121949283;Moderna;10:07:55;1 
31081212321;Pfizer;10:08:20;1 
31090849482;Moderna;10:09:10;2 
68122558162;Pfizer;10:10:00;2 
29090938284;Johnson&Johnson;10:10:25;1 
45072239756;AstraZeneca;10:10:50;1 
23111276218;Johnson&Johnson;10:11:15;1 
20090917161;Pfizer;10:11:40;1 
59071125491;Pfizer;10:12:05;1 
59013185354;Pfizer;10:12:55;2 
79090951196;Johnson&Johnson;10:13:20;1 
32051245259;Johnson&Johnson;10:13:45;1 
52110915493;Johnson&Johnson;10:14:10;1 
63071519565;Johnson&Johnson;10:14:35;1 
31032574678;Pfizer;10:15:25;2 
29120451253;Pfizer;10:15:50;1 
86121779571;Moderna;10:16:40;2 
66112536848;Johnson&Johnson;10:17:05;1 
60092125757;Pfizer;10:17:55;2 
03212425357;AstraZeneca;10:18:20;1 
36032085238;AstraZeneca;10:18:45;1 
35110487159;AstraZeneca;10:19:10;1 
87081197986;Johnson&Johnson;10:19:35;1 
02261657214;Moderna;10:20:00;1 
43071866744;Pfizer;10:20:50;2 
89030688767;Johnson&Johnson;10:21:15;1 
91010272679;Pfizer;10:22:05;2 
99032535899;Johnson&Johnson;10:22:30;1 
55101396662;Pfizer;10:23:20;2 
62121072494;Pfizer;10:24:10;2 
82013188393;Pfizer;10:24:35;1 
38071351228;Moderna;10:25:00;1 
41050489849;AstraZeneca;10:25:50;2 
26012882827;Johnson&Johnson;10:26:15;1 
33112424381;Pfizer;10:26:40;1 
68030575448;Moderna;10:27:05;1 
32071042599;Pfizer;10:27:55;2 
45072016319;Moderna;10:28:20;1 
37100557389;Pfizer;10:29:10;2 
87022876479;Pfizer;10:30:00;2 
82040551834;Johnson&Johnson;10:30:25;1 
84032393453;Pfizer;10:31:15;2 
76121116166;Pfizer;10:31:40;1 
86100435894;Moderna;10:32:05;1 
42121286459;AstraZeneca;10:32:30;1 
00211068217;Johnson&Johnson;10:32:55;1 
37101335553;Moderna;10:33:20;1 
93101437282;Pfizer;10:33:45;1 
84092469248;Johnson&Johnson;10:34:10;1 
66122925348;Pfizer;10:34:35;1 
46082271864;Johnson&Johnson;10:35:00;1 
49050437329;Pfizer;10:35:50;2 
39121348999;Johnson&Johnson;10:36:15;1 
82050531273;AstraZeneca;10:37:05;2 
25071775264;AstraZeneca;10:37:55;2 
31051584261;Johnson&Johnson;10:38:20;1 
63032962313;Johnson&Johnson;10:38:45;1 
63020471144;Moderna;10:39:10;1 
79043088122;Pfizer;10:40:00;2 
58122678814;Pfizer;10:40:50;2 
41030348687;Pfizer;10:41:15;1 
97080315144;Johnson&Johnson;10:41:40;1 
83011332388;Pfizer;10:42:05;1 
84061088793;Pfizer;10:42:30;1 
31032966828;Johnson&Johnson;10:42:55;1 
59062851844;Pfizer;10:43:20;1 
98022138285;AstraZeneca;10:44:10;2 
33071781183;Johnson&Johnson;10:44:35;1 
73112338424;Johnson&Johnson;10:45:00;1 
73043098635;AstraZeneca;10:45:25;1 
63120197421;Johnson&Johnson;10:45:50;1 
25102265353;AstraZeneca;10:46:40;2 
03291445574;Johnson&Johnson;10:47:05;1 
01220679359;Moderna;10:47:30;1 
40050435676;Johnson&Johnson;10:47:55;1 
26090492884;Johnson&Johnson;10:48:20;1 
95012392586;Moderna;10:48:45;1 
73040792617;Johnson&Johnson;10:49:10;1 
02260568212;Pfizer;10:50:00;2 
39090352748;Johnson&Johnson;10:50:25;1 
71011284668;Johnson&Johnson;10:50:50;1 
00251358325;Pfizer;10:51:40;2 
21012655389;AstraZeneca;10:52:05;1 
56050856955;Johnson&Johnson;10:52:30;1 
54100245953;AstraZeneca;10:53:20;2 
84112018447;AstraZeneca;10:54:10;2 
72101068197;Johnson&Johnson;10:54:35;1 
00311313587;Johnson&Johnson;10:55:00;1 
55041048188;Johnson&Johnson;10:55:25;1 
80101362548;Moderna;10:56:15;2 
00260733249;Moderna;10:57:05;2 
28092893533;Pfizer;10:57:55;2 
60010859593;Johnson&Johnson;10:58:20;1 
41111587989;Moderna;10:59:10;2 
39021872574;Moderna;10:59:35;1 
71022752822;Johnson&Johnson;11:00:00;1 
87032191885;Moderna;11:00:50;2 
03210738523;Pfizer;11:01:15;1 
60081536575;Johnson&Johnson;11:01:40;1 
71122032516;Pfizer;11:02:30;2 
00260186788;Moderna;11:03:20;2 
60091118475;AstraZeneca;11:04:10;2 
75061174364;Johnson&Johnson;11:04:35;1 
69020422395;Johnson&Johnson;11:05:00;1 
83030382645;Johnson&Johnson;11:05:25;1 
39081461356;Pfizer;11:06:15;2 
00210374584;Pfizer;11:07:05;2 
28060532327;Johnson&Johnson;11:07:30;1 
68020927398;Johnson&Johnson;11:07:55;1 
64071283528;AstraZeneca;11:08:20;1 
22052057724;AstraZeneca;11:08:45;1 
97022899972;Johnson&Johnson;11:09:10;1 
51071171359;Johnson&Johnson;11:09:35;1 
88072775381;Pfizer;11:10:00;1 
29101387319;Pfizer;11:10:25;1 
32102381695;Pfizer;11:11:15;2 
27011448364;Pfizer;11:12:05;2 
72120475358;Johnson&Johnson;11:12:30;1 
41090356844;Pfizer;11:13:20;2 
33120771547;Moderna;11:13:45;1 
77031493347;Moderna;11:14:10;1 
81022858718;Johnson&Johnson;11:14:35;1 
59021483349;Moderna;11:15:25;2 
64071661153;AstraZeneca;11:16:15;2 
93051387442;AstraZeneca;11:17:05;2 
42080534747;Johnson&Johnson;11:17:30;1 
83092587754;Moderna;11:17:55;1 
05262581579;AstraZeneca;11:18:45;2 
23101725346;AstraZeneca;11:19:35;2 
08212447312;Johnson&Johnson;11:20:00;1 
01262885453;Pfizer;11:20:50;2 
78063029274;Johnson&Johnson;11:21:15;1 
84020958541;Moderna;11:21:40;1 
43051688715;Moderna;11:22:30;2 
23021741866;Pfizer;11:22:55;1 
93052137947;Johnson&Johnson;11:23:20;1 
32032919984;AstraZeneca;11:24:10;2 
37042813178;Johnson&Johnson;11:24:35;1 
32022294723;Moderna;11:25:00;1 
83071485952;Johnson&Johnson;11:25:25;1 
36092347815;Johnson&Johnson;11:25:50;1 
32011873759;Pfizer;11:26:40;2 
62050797655;Moderna;11:27:30;2 
26071012872;Moderna;11:27:55;1 
32031342886;Moderna;11:28:45;2 
94081388276;Pfizer;11:29:35;2 
58042747827;Moderna;11:30:00;1 
91030424825;AstraZeneca;11:30:50;2 
94101225839;Johnson&Johnson;11:31:15;1 
27061576592;Pfizer;11:31:40;1 
69082256695;AstraZeneca;11:32:30;2 
24091544555;Johnson&Johnson;11:32:55;1 
32080613144;Pfizer;11:33:45;2 
52101126932;Johnson&Johnson;11:34:10;1 
60030287422;Pfizer;11:35:00;2 
01290493581;Pfizer;11:35:50;2 
71092135527;Johnson&Johnson;11:36:15;1 
72011163265;Pfizer;11:36:40;1 
56022547346;Pfizer;11:37:05;1 
78121792643;Johnson&Johnson;11:37:30;1 
61100364182;Johnson&Johnson;11:37:55;1 
61031888674;Moderna;11:38:45;2 
36070317939;Pfizer;11:39:10;1 
66110573429;Pfizer;11:39:35;1 
97071094113;Johnson&Johnson;11:40:00;1 
82080826231;Moderna;11:40:50;2 
25032732974;Moderna;11:41:15;1 
57020814955;Moderna;11:41:40;1 
42101332691;Pfizer;11:42:30;2 
56062075915;Pfizer;11:42:55;1 
95112846514;Johnson&Johnson;11:43:20;1 
34061334585;Johnson&Johnson;11:43:45;1 
54022648838;Pfizer;11:44:35;2 
84110223373;Johnson&Johnson;11:45:00;1 
52041838456;Pfizer;11:45:25;1 
84031322513;Johnson&Johnson;11:45:50;1 
32032162719;Moderna;11:46:15;1 
97071355946;Pfizer;11:46:40;1 
68031278319;Moderna;11:47:30;2 
74091385948;Moderna;11:47:55;1 
98031871755;Johnson&Johnson;11:48:20;1 
20033117319;Johnson&Johnson;11:48:45;1 
61061737391;Moderna;11:49:35;2 
41052166915;Moderna;11:50:00;1 
30120672731;Moderna;11:50:50;2 
37030758148;Pfizer;11:51:40;2 
73120916124;Johnson&Johnson;11:52:05;1 
97050796267;Pfizer;11:52:30;1 
02310988788;AstraZeneca;11:53:20;2 
60072586165;Johnson&Johnson;11:53:45;1 
20083041532;Pfizer;11:54:35;2 
81020398779;Johnson&Johnson;11:55:00;1 
68031128232;Moderna;11:55:25;1 
26010923799;Johnson&Johnson;11:55:50;1 
39100436174;Johnson&Johnson;11:56:15;1 
35100161414;Moderna;11:56:40;1 
00313097537;Johnson&Johnson;11:57:05;1 
23020138968;Pfizer;11:57:30;1 
53020684558;Johnson&Johnson;11:57:55;1 
00302153828;Johnson&Johnson;11:58:20;1 
73050542985;Moderna;11:59:10;2 
93080389561;Johnson&Johnson;11:59:35;1 
58110789311;Moderna;12:00:25;2 
53083029181;Pfizer;12:00:50;1 
47060575491;Johnson&Johnson;12:01:15;1 
81030767242;Pfizer;12:01:40;1 
23021398945;Moderna;12:02:05;1 
63062527298;AstraZeneca;12:02:30;1 
86031882961;Johnson&Johnson;12:02:55;1 
99091228246;Moderna;12:03:45;2 
05240635872;Johnson&Johnson;12:04:10;1 
71051041144;Pfizer;12:05:00;2 
70030269571;Johnson&Johnson;12:05:25;1 
83011367542;Moderna;12:05:50;1 
87090814478;AstraZeneca;12:06:15;1 
54072686543;Johnson&Johnson;12:06:40;1 
70110136542;Johnson&Johnson;12:07:05;1 
97100169892;Moderna;12:07:55;2 
65031884531;Moderna;12:08:45;2 
73122951518;Pfizer;12:09:10;1 
55111826315;Johnson&Johnson;12:09:35;1 
32041285373;Johnson&Johnson;12:10:00;1 
42112851493;Moderna;12:10:50;2 
05261773597;Pfizer;12:11:40;2 
69081435648;Moderna;12:12:30;2 
02280662345;Pfizer;12:13:20;2 
84022657936;Johnson&Johnson;12:13:45;1 
48101719555;Pfizer;12:14:35;2 
02213087139;Johnson&Johnson;12:15:00;1 
40022232773;Johnson&Johnson;12:15:25;1 
48081955217;Pfizer;12:15:50;1 
50121547348;Pfizer;12:16:15;1 
43031032635;Johnson&Johnson;12:16:40;1 
03251128637;Pfizer;12:17:05;1 
80062354785;Johnson&Johnson;12:17:30;1 
02311545784;Pfizer;12:18:20;2 
25111396468;Johnson&Johnson;12:18:45;1 
33042842215;Johnson&Johnson;12:19:10;1 
28100582374;Johnson&Johnson;12:19:35;1 
99072844919;Johnson&Johnson;12:20:00;1 
01250991368;Pfizer;12:20:50;2 
22032032875;Moderna;12:21:15;1 
81113041454;Johnson&Johnson;12:21:40;1 
09311045276;Moderna;12:22:30;2 
39071421292;Johnson&Johnson;12:22:55;1 
87082031359;Johnson&Johnson;12:23:20;1 
93040472816;Johnson&Johnson;12:23:45;1 
81100414748;Pfizer;12:24:10;1 
38082022588;Johnson&Johnson;12:24:35;1 
07261292591;Johnson&Johnson;12:25:00;1 
46022384991;Johnson&Johnson;12:25:25;1 
97020325844;Johnson&Johnson;12:25:50;1 
08231762539;Johnson&Johnson;12:26:15;1 
76081141583;Moderna;12:27:05;2 
93050967531;Moderna;12:27:55;2 
40060177519;Moderna;12:28:45;2 
55012852385;Moderna;12:29:10;1 
87011431214;Pfizer;12:29:35;1 
05281176583;Moderna;12:30:00;1 
83122017327;Moderna;12:30:50;2 
45040287376;Moderna;12:31:15;1 
27032555478;Pfizer;12:31:40;1 
88111977491;Pfizer;12:32:30;2 
00241645299;Johnson&Johnson;12:32:55;1 
67010894445;Moderna;12:33:45;2 
96030638982;Johnson&Johnson;12:34:10;1 
89062565472;Moderna;12:34:35;1 
46052327173;Moderna;12:35:25;2 
23111828323;Johnson&Johnson;12:35:50;1 
30021131852;Johnson&Johnson;12:36:15;1 
80031916112;AstraZeneca;12:37:05;2 
78062476848;AstraZeneca;12:37:30;1 
74070224767;AstraZeneca;12:37:55;1 
35110511647;Johnson&Johnson;12:38:20;1 
31121533272;Moderna;12:38:45;1 
79011023319;Pfizer;12:39:35;2 
93071365514;Johnson&Johnson;12:40:00;1 
20022021197;Pfizer;12:40:50;2 
34010514565;Moderna;12:41:15;1 
87032986685;Moderna;12:42:05;2 
93111938272;AstraZeneca;12:42:55;2 
32082876734;Johnson&Johnson;12:43:20;1 
71112186139;Moderna;12:43:45;1 
51041632947;Johnson&Johnson;12:44:10;1 
28042413925;Pfizer;12:45:00;2 
08212126581;Pfizer;12:45:50;2 
90061971629;Moderna;12:46:40;2 
22060986926;Moderna;12:47:05;1 
20071266347;Moderna;12:47:55;2 
93090426797;Johnson&Johnson;12:48:20;1 
72080678389;Moderna;12:48:45;1 
54022057258;AstraZeneca;12:49:35;2 
23081349275;Johnson&Johnson;12:50:00;1 
52010156343;Johnson&Johnson;12:50:25;1 
48092133558;Moderna;12:50:50;1 
52062858569;Johnson&Johnson;12:51:15;1 
97060877642;Pfizer;12:51:40;1 
96122982869;Johnson&Johnson;12:52:05;1 
79091155377;Moderna;12:52:55;2 
02300364525;AstraZeneca;12:53:20;1 
06290512595;AstraZeneca;12:53:45;1 
43070562795;Johnson&Johnson;12:54:10;1 
06281534812;Moderna;12:54:35;1 
06230267871;Moderna;12:55:25;2 
55021173347;Johnson&Johnson;12:55:50;1 
44062292353;Moderna;12:56:40;2 
30080361197;Johnson&Johnson;12:57:05;1 
03240155763;Pfizer;12:57:55;2 
06241139242;Moderna;12:58:20;1 
44101537939;Johnson&Johnson;12:58:45;1 
47102474269;Pfizer;12:59:10;1 
06281643996;Johnson&Johnson;12:59:35;1 
54110819487;Moderna;13:00:00;1 
74040628254;AstraZeneca;13:00:50;2 
87080722396;Johnson&Johnson;13:01:15;1 
31090559989;Johnson&Johnson;13:01:40;1 
46022655284;Pfizer;13:02:30;2 
58012774837;Moderna;13:03:20;2 
45112319471;Moderna;13:03:45;1 
23030436562;Johnson&Johnson;13:04:10;1 
35012796652;Moderna;13:05:00;2 
86120371859;Pfizer;13:05:25;1 
02301066266;Pfizer;13:06:15;2 
75031568995;AstraZeneca;13:07:05;2 
74022088997;Johnson&Johnson;13:07:30;1 
04272952573;Johnson&Johnson;13:07:55;1 
95062121776;AstraZeneca;13:08:45;2 
48021366534;Johnson&Johnson;13:09:10;1 
05320823322;Pfizer;13:09:35;1 
87041224268;Moderna;13:10:25;2 
08211236469;Johnson&Johnson;13:10:50;1 
94041771362;Moderna;13:11:40;2 
08280523622;Pfizer;13:12:05;1 
28111415492;Johnson&Johnson;13:12:30;1 
35030859197;Moderna;13:13:20;2 
92081637192;Moderna;13:13:45;1 
39021949173;Moderna;13:14:35;2 
80070515514;Moderna;13:15:00;1 
41090343718;AstraZeneca;13:15:25;1 
62091143985;Johnson&Johnson;13:15:50;1 
71030266872;Johnson&Johnson;13:16:15;1 
37060241535;Johnson&Johnson;13:16:40;1 
27052465261;Johnson&Johnson;13:17:05;1 
93010539549;AstraZeneca;13:17:55;2 
31120146318;AstraZeneca;13:18:20;1 
94060442786;AstraZeneca;13:19:10;2 
08300996513;Johnson&Johnson;13:19:35;1 
87071754944;Pfizer;13:20:00;1 
66091342146;Pfizer;13:20:50;2 
48120934478;AstraZeneca;13:21:15;1 
88011322267;Johnson&Johnson;13:21:40;1 
59042321268;Johnson&Johnson;13:22:05;1 
60020194394;Pfizer;13:22:30;1 
54051894257;Moderna;13:23:20;2 
63022648489;Moderna;13:23:45;1 
66031135467;AstraZeneca;13:24:35;2 
49072924229;Johnson&Johnson;13:25:00;1 
09291837313;Moderna;13:25:25;1 
45020892626;Pfizer;13:25:50;1 
35032869556;Pfizer;13:26:40;2 
34081398633;Johnson&Johnson;13:27:05;1 
20051966337;Pfizer;13:27:30;1 
58022191471;Moderna;13:28:20;2 
33092927353;AstraZeneca;13:29:10;2 
31071117359;Johnson&Johnson;13:29:35;1 
88012178515;Johnson&Johnson;13:30:00;1 
20052716283;Johnson&Johnson;13:30:25;1 
07230934929;AstraZeneca;13:31:15;2 
61070152859;Johnson&Johnson;13:31:40;1 
48011459585;Moderna;13:32:30;2 
68102192991;Moderna;13:32:55;1 
49062323812;Johnson&Johnson;13:33:20;1 
48123076117;Johnson&Johnson;13:33:45;1 
77081388774;Moderna;13:34:10;1 
98033094657;Johnson&Johnson;13:34:35;1 
75033075912;AstraZeneca;13:35:00;1 
77112911681;Johnson&Johnson;13:35:25;1 
32082919521;Moderna;13:36:15;2 
07321653122;Moderna;13:36:40;1 
97051475275;Moderna;13:37:05;1 
83040151116;Pfizer;13:37:30;1 
56071482434;Johnson&Johnson;13:37:55;1 
00292475236;Moderna;13:38:20;1 
73022861658;Johnson&Johnson;13:38:45;1 
97051868914;Pfizer;13:39:35;2 
98082439627;Moderna;13:40:00;1 
27041396967;Johnson&Johnson;13:40:25;1 
52011078749;Pfizer;13:41:15;2 
40112924179;Pfizer;13:41:40;1 
38091826412;Johnson&Johnson;13:42:05;1 
83051049688;Moderna;13:42:30;1 
78062222821;Johnson&Johnson;13:42:55;1 
25101587957;Moderna;13:43:45;2 
56070449645;Johnson&Johnson;13:44:10;1 
09280566174;Pfizer;13:45:00;2 
89090688459;Pfizer;13:45:25;1 
40022828594;Johnson&Johnson;13:45:50;1 
27011314739;Moderna;13:46:15;1 
48082514468;Johnson&Johnson;13:46:40;1 
98071097991;Johnson&Johnson;13:47:05;1 
64041882922;Moderna;13:47:55;2 
91112263319;Johnson&Johnson;13:48:20;1 
21012094418;Pfizer;13:49:10;2 
32100725349;Johnson&Johnson;13:49:35;1 
24090793257;Johnson&Johnson;13:50:00;1 
60111055892;Pfizer;13:50:50;2 
76102185958;AstraZeneca;13:51:40;2 
36051999736;Johnson&Johnson;13:52:05;1 
91061249619;Johnson&Johnson;13:52:30;1 
53062719315;Moderna;13:52:55;1 
52051969249;Moderna;13:53:45;2 
83082872374;AstraZeneca;13:54:35;2 
64021858958;AstraZeneca;13:55:25;2 
79070873683;Johnson&Johnson;13:55:50;1 
97092383821;Johnson&Johnson;13:56:15;1 
